normalized_name,source,pk,code,original_name,energia_kcal,proteina_g,carbs_g,fat_g,fiber_g,fooditem_refs,foodsubstitution_as_original,foodsubstitution_as_substitute,foodsubstitutionrule_as_original,foodsubstitutionrule_as_substitute,nutritionist_favorite_count,ibge_taco_ref,ibge_tbca_ref,ibge_usda_ref
acai polpa com xarope de guarana e glucose,TACO,167,167,"Açaí, polpa, com xarope de guaraná e glucose",110.29759,0.720833333333333,21.4551666666667,3.66033333333333,1.72333333333333,0,0,0,18,15,0,,,
acai polpa com xarope de guarana e glucose,TBCA,758,C0095C,"Açaí, polpa, com xarope de guaraná e glucose,",118.0,0.72,0.0,3.66,1.72,0,0,0,0,0,0,,,
acaraje,TACO,525,525,Acarajé,289.211666666667,8.34583333333334,19.1138333333333,19.9303333333333,9.35833333333333,0,0,0,0,0,0,,,
acaraje,IBGE,8122,8500209,Acarajé,,,,,,0,0,0,0,0,0,,,
acelga crua,TACO,74,74,"Acelga, crua",20.9423424999999,1.44375,4.63091666666666,0.106,1.122,0,0,0,1,0,0,,,
acelga crua,TBCA,4072,C0007B,"Acelga, crua,",23.0,1.44,0.0,0.11,1.12,0,0,0,0,0,0,,,
acucar cristal,TACO,492,492,"Açúcar, cristal",386.845724,0.32,99.61,0.0,0.0,0,0,0,0,0,0,,,
acucar cristal,TBCA,4938,C0005K,"Açúcar, cristal,",400.0,0.32,0.0,0.0,0.0,0,0,0,0,0,0,,,
acucar mascavo,TACO,493,493,"Açúcar, mascavo",368.554822524389,0.758333333333333,94.45,0.092,0.0,0,0,0,0,0,0,,,
acucar mascavo,TBCA,3749,C0006K,"Açúcar, mascavo,",382.0,0.76,0.0,0.09,0.0,0,0,0,0,0,0,,,
acucar mascavo,IBGE,2416,6900304,Açúcar mascavo,,,,,,0,0,0,0,0,0,,,
ameixa em calda enlatada drenada,TACO,173,173,"Ameixa, em calda, enlatada, drenada",177.359185315371,1.025,47.658,0.280333333333333,4.54666666666667,0,0,0,0,0,0,,,
ameixa em calda enlatada drenada,TBCA,708,C0186C,"Ameixa, em calda, enlatada, drenada,",188.0,0.41,0.0,0.0,0.52,0,0,0,0,0,0,,,
apresuntado,TACO,323,323,Apresuntado,128.857255812009,13.45,2.862,6.69066666666667,0.0,0,0,0,0,0,0,,,
apresuntado,IBGE,7196,8103601,Apresuntado,,,,,,0,0,0,0,0,0,,,
banana doce em barra,TACO,176,176,"Banana, doce em barra",280.105192550639,2.16875,75.6665833333333,0.05,3.83333333333333,0,0,0,0,0,0,,,
banana doce em barra,TBCA,3202,C0094C,"Banana, doce, em barra,",304.0,2.17,0.0,0.05,3.83,0,0,0,0,0,0,,,
biscoito doce maisena,TACO,8,8,"Biscoito, doce, maisena",442.819390144928,8.07252173913043,75.2341449275362,11.9666666666667,2.1,0,0,0,3,0,0,,,
biscoito doce maisena,TBCA,2573,C0200A,"Biscoito, doce, maisena,",437.0,8.07,0.0,12.0,2.1,0,0,0,0,0,0,,,
biscoito salgado cream cracker,TACO,13,13,"Biscoito, salgado, cream cracker",431.73228115942,10.0551304347826,68.7315362318841,14.4366666666667,2.51,0,0,0,3,0,0,,,
biscoito salgado cream cracker,TBCA,2789,C0201A,"Biscoito, salgado, cream cracker,",440.0,11.1,0.0,13.8,2.67,0,0,0,0,0,0,,,
brocolis cru,TACO,101,101,"Brócolis, cru",25.495131884058,3.64492753623188,4.02507246376812,0.266666666666667,2.88,0,0,0,0,0,0,,,
brocolis cru,USDA,34,169389,"Brócolis, cru",34.0,2.8,6.6,0.4,2.6,0,0,0,0,0,0,,,
caja polpa congelada,TACO,185,185,"Cajá, polpa, congelada",26.3322693110506,0.589583333333333,6.37441666666666,0.167666666666667,1.36,0,0,0,0,0,0,,,
caja polpa congelada,TBCA,5227,C0073C,"Cajá, polpa, congelada,",27.0,0.59,0.0,0.17,1.36,0,0,0,0,0,0,,,
caju polpa congelada,TACO,187,187,"Caju, polpa, congelada",36.56868,0.48125,9.35074999999999,0.154,0.814666666666667,0,0,0,0,0,0,,,
caju polpa congelada,TBCA,4873,C0051C,"Caju, polpa, congelada,",39.0,0.48,0.0,0.15,0.81,0,0,0,0,0,0,,,
caju suco concentrado envasado,TACO,188,188,"Caju, suco concentrado, envasado",45.1086266666667,0.404166666666667,10.7338333333333,0.2,0.626,0,0,0,0,0,0,,,
caju suco concentrado envasado,TBCA,2590,C0050C,"Caju, suco, concentrado, envasado,",45.0,0.4,0.0,0.2,0.63,0,0,0,0,0,0,,,
cereal matinal milho,TACO,25,25,"Cereal matinal, milho",365.354163768116,7.15579710144928,83.8242028985507,0.956666666666667,4.11666666666667,0,0,0,0,0,0,,,
cereal matinal milho,TBCA,5,C0100A,"Cereal matinal, milho,",364.0,7.16,0.0,0.96,4.12,0,0,0,0,0,0,,,
chocolate ao leite dietetico,TACO,497,497,"Chocolate, ao leite, dietético",556.824333333333,6.89791666666667,56.3234166666667,33.771,2.84666666666667,0,0,0,0,0,0,,,
chocolate ao leite dietetico,TBCA,203,C0001N,"Chocolate, ao leite, dietético,",557.0,6.9,0.0,33.8,2.85,0,0,0,0,0,0,,,
chocolate meio amargo,TACO,498,498,"Chocolate, meio amargo",474.917769973274,4.86244343217214,62.4228899011612,29.8566666666667,4.94366666666667,0,0,0,0,0,0,,,
chocolate meio amargo,TBCA,3319,C0054K,"Chocolate, meio amargo,",538.0,4.86,0.0,29.9,4.94,0,0,0,0,0,0,,,
cocada branca,TACO,499,499,Cocada branca,448.84545242331,1.12183337370555,81.3831666262945,13.587,3.569,0,0,0,0,0,0,,,
cocada branca,TBCA,134,C0012K,"Cocada, branca,",445.0,1.12,0.0,13.6,3.57,0,0,0,0,0,0,,,
